Number,Short description,Assignment group,Issue Tag,Codes,TICKET_PROBLEM_TKTNOTE_ORIG,traincolumn
INC0004037477,sap : pmt : pmt sap application : quality management,SAP App Quality Mgmt Run (NTT Data),Missing Materials,30,SAP : PMT : PMT SAP Application : Quality Management, sap pmt pmt sap application quality management
INC0004038556,sap : hbt : application module issue : crm,SAP App CRM Run  (NTT Data),Order/Doc Stuck Failure,17,SAP : HBT : Application or Module issue : CRM, sap hbt application module issue crm
INC0004038785,job erp-c-cga-p2p-zmm_ival_appr_nwk alarm maxrunalarm code,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-CGA-P2P-ZMM_IVAL_APPR_NWK ALARM  MAXRUNALARM Code  , job erp c cga p2p zmm ival appr nwk alarm maxrunalarm code
INC0004041357,job erp-c-cga-fi-zfi-bcm-status-aero-bnp failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-CGA-FI-ZFI-BCM-STATUS-AERO-BNP FAILURE Code 5 , job erp c cga fi zfi bcm status aero bnp failure code nembor
INC0004037335,job erp-c-cga-fi-zfi_f110s #nembor#a #nembor# #nembor# failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-CGA-FI-ZFI_F110S_193A_5_07 FAILURE Code 2 , job erp c cga fi zfi f110s nembor a nembor nembor failure code nembor
INC0004036978,job erp-c-hcc-bas-sap-soap-runtime-management failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-HCC-BAS-SAP-SOAP-RUNTIME-MANAGEMENT FAILURE Code 5 , job erp c hcc bas sap soap runtime management failure code nembor
INC0004036229,sps : oracle application : intelligrated : application issue,IGS Oracle Support,,7,SPS : Oracle Application : INTELLIGRATED  : Application Issue, sps oracle application intelligrated application issue
INC0004036800,sap : corp : password reset :,Site Desktop Support (APAC:IE4L),Account Locked/Password Reset,48,SAP : CORP : Password Reset : , sap corp password reset
INC0004037811,job brp-c-cpsrcem04001-seragr12 failure code #nembor#,SAP App Batch Run - HBT/SPS (NTT Data),Job Failure,14,JOB BRP-C-CPSRCEM04001-SERAGR12 FAILURE Code 1 , job brp c cpsrcem04001 seragr12 failure code nembor
INC0004040639,job erp-c-cga-fi-zfi-bcm-status-aero-bnp failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-CGA-FI-ZFI-BCM-STATUS-AERO-BNP FAILURE Code 5 , job erp c cga fi zfi bcm status aero bnp failure code nembor
INC0004041178,sap : sps : sps emea legacy sap application (sperian) : sap order management,SAP App Order Mgmt Run (NTT Data),,28,SAP : SPS : SPS EMEA Legacy SAP Application (SPERIAN) : SAP ORDER MANAGEMENT, sap sps sps emea legacy sap application sperian sap order management
INC0004037450,sap unlock/password reset - aero arp,Service Desk (US:GBL),Account Locked/Password Reset,47,SAP Unlock/Password Reset - AERO ARP, sap unlock password reset aero arp
INC0004036341,"market , medium,aero,h295142",SAP Aftermarket Configuration Mgmt (ACM) RUN,,10,"AFTER MARKET , MEDIUM,AERO,H295142", market medium aero h2 5142
INC0004035088,job erp-c-cga-fi-zfir-ival-payment-info failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-CGA-FI-ZFIR-IVAL-PAYMENT-INFO FAILURE Code 2 , job erp c cga fi zfir ival payment info failure code nembor
INC0004035221,planning calendar extension #nembor# - zmo,SAP App Configuration (NTT Data),,19,Planning calendar extension 5120 - ZMO, planning calendar extension nembor zmo
INC0004038719,job erp-c-hts-sd-hts_hipi_lms_inv_post failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-HTS-SD-HTS_HIPI_LMS_INV_POST FAILURE Code 2 , job erp c hts sd hts hipi lms inv post failure code nembor
